path	node	rank	remark
Archaea	Archaea	domain	''
Archaea;Ancient Archaeal Group(AAG)	Ancient Archaeal Group(AAG)	phylum	a
Archaea;Crenarchaeota	Crenarchaeota	phylum	''
Archaea;Crenarchaeota;Thermoprotei	Thermoprotei	class	''
Archaea;Crenarchaeota;Thermoprotei;a87Y42	a87Y42	order	a
Archaea;Crenarchaeota;Thermoprotei;Acidilobales	Acidilobales	order	''
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae	Acidilobaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus	Acidilobus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae	Caldisphaeraceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera	Caldisphaera	genus	''
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;SK190	SK190	family	a
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales	Desulfurococcales	order	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae	Desulfurococcaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum	Aeropyrum	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus	Desulfurococcus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus	Ignicoccus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera	Ignisphaera	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus	Staphylothermus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Stetteria	Stetteria	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus	Sulfophobococcus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermodiscus	Thermodiscus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera	Thermosphaera	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured	uncultured	genus	a
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae	Pyrodictiaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus	Hyperthermus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium	Pyrodictium	genus	''
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured	uncultured	genus	a
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales	Fervidicoccales	order	''
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae	Fervidicoccaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus	Fervidicoccus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured	uncultured	genus	a
Archaea;Crenarchaeota;Thermoprotei;HTM1036S-A29	HTM1036S-A29	order	a
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales	Sulfolobales	order	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae	Sulfolobaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus	Acidianus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera	Metallosphaera	genus	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus	Stygiolobus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus	Sulfolobus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera	Sulfurisphaera	genus	''
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured	uncultured	genus	a
Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG)	Terrestrial Miscellaneous Gp(TMCG)	order	a
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales	Thermoproteales	order	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae	Thermofilaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum	Thermofilum	genus	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae	Thermoproteaceae	family	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga	Caldivirga	genus	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum	Pyrobaculum	genus	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium	Thermocladium	genus	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus	Thermoproteus	genus	''
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;uncultured	uncultured	genus	a
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta	Vulcanisaeta	genus	''
Archaea;Euryarchaeota	Euryarchaeota	phylum	''
Archaea;Euryarchaeota;Archaeoglobi	Archaeoglobi	class	''
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales	Archaeoglobales	order	''
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae	Archaeoglobaceae	family	''
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus	Archaeoglobus	genus	''
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus	Ferroglobus	genus	''
